,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,式入ってます,,,,,3回,式入ってます,,式入ってます,,,,,,,,
施術カテゴリ,施術名,製剤,単位数,現価格,"新
価格",初回,"初回
（割引率）",モニター,リピーター,リピータ割引率,プリ30万,回数券,"回数券
（割引率）",キャンペーン,"キャンペーン
（割引率）",備考コスト,定価利益,プリ利益,5％オフ,10％,15％,20％,30％
注入系,水光注射（ハイコックス）,スキンボトックスニューロ,10単位,"27,500","27,500",,,,,,"22,000",,,,,"3,500","24,000","18,500","26,125","24,750","23,375","22,000","19,250"
注入系,水光注射（ハイコックス）,スキンボトックスニューロ,オプション,"13,750","13,750",,,,,,"11,000",,,,,,,,"13,063","12,375","11,688","11,000","9,625"
注入系,水光注射（ハイコックス）,リジュラン,1cc,"33,000","33,000",,,,,,"26,400","89,100",10％,,,"10,000","19,700","16,400","31,350","29,700","28,050","26,400","23,100"
,水光注射（ハイコックス）,リジュラン,追加1㏄,,"16,500",,,,,,"13,200",,,,,,,,,,,,"11,550"
注入系,水光注射（ハイコックス）,リジュラン,2㏄,"66,000","49,500",,,,,,"39,600","133,650",10％,,,18000,"31,500","21,600","47,025","44,550","42,075","39,600","34,650"
注入系,水光注射（ハイコックス）,リジュラン,3㏄,"99,000","66,000",,,,,,"52,800","178,200",10％,,,"26,000","40,000","26,800","62,700","59,400","56,100","52,800","46,200"
,水光注射（ハイコックス）,ジュベルック,1㏄,,"33,000",,,,,,"26,400",,,,,"7,000","26,000","19,400",,,,,"23,100"
注入系,水光注射（ハイコックス）,ジュベルック,追加1㏄,,"11,000",,,,,,"8,800",,,,,,,,"10,450","9,900","9,350","8,800","7,700"
,水光注射（ハイコックス）,ジュベルック,2㏄,,"44,000",,,,,,"35,200","118,800",10％,,,"12,000","32,000","23,200",,,,,"30,800"
注入系,水光注射（ハイコックス）,ジュベルック,3㏄,,"55,000",,,,,,"44,000","148,500",10％,,,"17,000","38,000","27,000","52,250","49,500","46,750","44,000","38,500"
注入系,水光注射（ハイコックス）,ジュベルック,6㏄,,"88,000",,,,,,"70,400","237,600",10％,,,"¥32,000","56,000","38,400","83,600","79,200","74,800","70,400","61,600"
注入系,水光注射（ハイコックス）,プルリアルデンシファイシングル,1本2cc,"77,000","66,000",,,,,,"52,800","178,200",10％,,30000,"¥27,000","39,000","25,800","62,700","59,400","56,100","52,800","46,200"
注入系,水光注射（ハイコックス）,プルリアルデンシファイダブル,2本4㏄,"154,000","132,000",,,,,,"105,600","356,400",10％,,,"52,000","80,000","53,600","125,400","118,800","112,200","105,600","92,400"
注入系,水光注射（ハイコックス）,スネコスパフォルマ,1本3.5㏄,,"55,000",,,,,,"44,000",,,,,17000,"38,000","27,000","52,250","49,500","46,750","44,000","38,500"
注入系,Dr.手打ち注射,リジュラン,1cc,,"44,000",,,,,,"39,600","118,800",10％,,,"8,000","36,000","31,600","41,800","39,600","37,400","35,200","30,800"
注入系,Dr.手打ち注射,リジュラン,追加1㏄,,"22,000",,,,,,"19,800",,,,,16000,,,"20,900","19,800","18,700","17,600","15,400"
注入系,Dr.手打ち注射,リジュラン,2㏄,,"66,000",,,,,,"59,400","178,200",10％,,,16000,"50,000","43,400",,,,,"46,200"
注入系,Dr.手打ち注射,リジュラン,3㏄,,"88,000",,,,,,"79,200","237,600",10％,,,24000,"64,000","55,200","83,600","79,200","74,800","70,400","61,600"
注入系,Dr.手打ち注射,ジュベルック,1cc,,"33,000",,,,,,"29,700","89,100",10％,,,"5,000","28,000","24,700","31,350","29,700","28,050","26,400","23,100"
注入系,Dr.手打ち注射,ジュベルック,追加1㏄,,"16,500",,,,,,"14,850",,,,,,,,"15,675","14,850","14,025","13,200","11,550"
,,,2㏄,,"49,500",,,,,,"44,550","133,650",10％,,,10000,"39,500","34,550",,,,,"34,650"
注入系,Dr.手打ち注射,ジュベルック,3cc,,"66,000",,,,,,"59,400","178,200",10％,,,"15,000","51,000","44,400","62,700","59,400","56,100","52,800","46,200"
注入系,Dr.手打ち注射,スネコスパフォルマ,1本（3.5cc）,,"55,000",,,,,,"49,500","148,500",10％,,,"15,000","40,000","34,500","52,250","49,500","46,750","44,000","38,500"
